cpu,real,situation
0.061,2.386,q1-indexes-foreign-case:a
0.061,2.415,q1-indexes-foreign-case:a
0.062,2.421,q1-indexes-foreign-case:a
0.061,2.431,q1-indexes-foreign-case:a
0.063,2.44,q1-indexes-foreign-case:a
0.062,2.421,q1-indexes-foreign-case:a
0.061,2.425,q1-indexes-foreign-case:a
0.062,2.436,q1-indexes-foreign-case:a
0.061,2.41,q1-indexes-foreign-case:a
0.061,2.415,q1-indexes-foreign-case:a
0.061,35.991,q1-indexes-foreign-case:b
0.063,11.94,q1-indexes-foreign-case:b
0.064,4.325,q1-indexes-foreign-case:b
0.063,2.577,q1-indexes-foreign-case:b
0.063,2.699,q1-indexes-foreign-case:b
0.063,2.381,q1-indexes-foreign-case:b
0.065,2.384,q1-indexes-foreign-case:b
0.063,2.391,q1-indexes-foreign-case:b
0.064,2.399,q1-indexes-foreign-case:b
0.063,2.397,q1-indexes-foreign-case:b
0.064,2.4,q1-indexes-foreign-case:b
0.063,2.386,q1-indexes-foreign-case:b
0.063,2.404,q1-indexes-foreign-case:b
0.063,2.394,q1-indexes-foreign-case:b
0.063,2.399,q1-indexes-foreign-case:b
0.063,2.376,q1-indexes-foreign-case:b
0.062,2.373,q1-indexes-foreign-case:b
0.063,2.381,q1-indexes-foreign-case:b
0.063,2.392,q1-indexes-foreign-case:b
0.063,2.384,q1-indexes-foreign-case:b
0.064,2.378,q1-indexes-foreign-case:b
0.064,2.375,q1-indexes-foreign-case:b
0.063,2.377,q1-indexes-foreign-case:b
0.063,2.402,q1-indexes-foreign-case:b
0.064,2.397,q1-indexes-foreign-case:b
0.063,2.389,q1-indexes-foreign-case:b
0.063,2.376,q1-indexes-foreign-case:b
0.062,2.396,q1-indexes-foreign-case:b
0.063,2.426,q1-indexes-foreign-case:b
0.063,2.445,q1-indexes-foreign-case:b
0.062,2.407,q1-indexes-foreign-case:b
0.063,2.408,q1-indexes-foreign-case:b
0.063,2.405,q1-indexes-foreign-case:b
0.062,2.437,q1-indexes-foreign-case:b
0.063,2.412,q1-indexes-foreign-case:b
0.062,2.423,q1-indexes-foreign-case:b
0.062,2.408,q1-indexes-foreign-case:b
0.063,2.431,q1-indexes-foreign-case:b
0.062,2.412,q1-indexes-foreign-case:b
0.062,2.407,q1-indexes-foreign-case:b
0.062,2.413,q1-indexes-foreign-case:b
0.063,2.424,q1-indexes-foreign-case:b
